age,job,education,housing,loan,output,marital
27,admin.,unknown,no,no,yes,single
52,blue-collar,basic.9y,no,no,yes,married
34,management,university.degree,yes,yes,no,married
42,entrepreneur,university.degree,yes,no,no,married
51,technician,unknown,yes,no,no,married
45,management,basic.4y,yes,no,no,married
56,retired,high.school,no,no,no,married
41,management,university.degree,yes,no,no,married
44,admin.,high.school,yes,no,no,married
50,blue-collar,basic.6y,yes,no,yes,married
54,self-employed,high.school,no,no,no,married
51,blue-collar,basic.6y,no,no,no,married
30,blue-collar,basic.9y,no,no,no,single
42,housemaid,basic.4y,yes,no,no,married
41,technician,professional.course,yes,no,no,married
47,services,basic.9y,no,no,no,single
35,blue-collar,basic.6y,yes,no,no,married
58,blue-collar,basic.9y,no,no,no,married
50,blue-collar,high.school,yes,yes,yes,divorced
41,technician,professional.course,no,no,no,married
38,technician,university.degree,yes,no,no,married
32,student,university.degree,no,no,no,single
21,student,high.school,no,no,no,single
46,admin.,basic.9y,no,no,no,divorced
42,self-employed,university.degree,yes,no,no,married
55,services,basic.9y,no,no,no,married
29,admin.,high.school,yes,no,no,single
30,blue-collar,basic.6y,yes,no,no,single
53,management,basic.4y,yes,no,no,married
35,management,university.degree,yes,no,no,married
46,services,professional.course,yes,no,no,married
30,blue-collar,unknown,no,no,no,married
43,entrepreneur,university.degree,yes,no,no,married
42,services,high.school,yes,no,no,married
32,technician,professional.course,no,no,no,married
41,blue-collar,basic.9y,yes,no,no,divorced
28,admin.,university.degree,no,no,no,married
24,services,university.degree,no,no,no,single
43,management,university.degree,yes,yes,no,married
30,admin.,university.degree,yes,no,no,single
55,blue-collar,basic.9y,no,no,no,married
51,retired,basic.9y,no,no,no,married
22,student,high.school,no,yes,no,single
32,entrepreneur,university.degree,no,yes,no,single
43,admin.,professional.course,no,no,no,married
39,management,basic.6y,no,no,no,married
52,blue-collar,unknown,no,no,no,divorced
38,technician,professional.course,yes,no,no,single
59,retired,basic.4y,no,no,no,married
31,blue-collar,basic.4y,yes,no,no,married
76,retired,basic.4y,no,no,yes,single
44,unknown,basic.9y,yes,no,no,single
30,blue-collar,unknown,no,no,no,married
32,services,high.school,no,no,no,married
41,unemployed,unknown,no,no,no,married
33,admin.,university.degree,yes,no,yes,single
59,retired,basic.4y,yes,no,no,married
28,blue-collar,basic.9y,yes,no,no,married
33,blue-collar,basic.6y,yes,no,no,single
53,services,high.school,yes,no,no,married
41,services,high.school,no,no,yes,married
55,unknown,basic.4y,no,yes,no,married
45,blue-collar,basic.9y,no,no,no,married
35,technician,professional.course,no,no,no,married
31,services,high.school,no,no,no,married
53,management,university.degree,no,no,no,married
35,technician,professional.course,yes,no,no,single
45,blue-collar,basic.6y,yes,no,no,divorced
34,housemaid,university.degree,no,no,no,single
42,admin.,basic.9y,no,no,no,married
36,self-employed,basic.9y,yes,yes,no,married
44,admin.,high.school,no,no,no,married
50,admin.,university.degree,yes,no,no,divorced
36,admin.,university.degree,yes,no,no,married
27,technician,professional.course,no,no,no,married
40,management,unknown,no,no,no,married
25,technician,university.degree,yes,yes,no,single
29,management,university.degree,yes,yes,no,married
44,admin.,high.school,no,no,no,married
57,blue-collar,unknown,yes,no,no,married
30,admin.,high.school,yes,no,no,single
37,self-employed,university.degree,yes,yes,no,married
57,technician,basic.9y,no,no,no,married
32,technician,professional.course,yes,no,yes,married
54,admin.,professional.course,no,no,yes,married
58,blue-collar,basic.9y,yes,no,yes,married
29,admin.,university.degree,yes,no,no,single
60,services,high.school,no,no,no,married
27,unemployed,university.degree,no,no,no,single
30,unemployed,high.school,yes,no,no,married
42,blue-collar,basic.4y,no,no,no,married
48,housemaid,high.school,no,no,no,married
35,admin.,university.degree,no,no,no,single
46,blue-collar,basic.6y,yes,yes,no,married
57,retired,basic.4y,no,no,no,unknown
30,services,high.school,no,no,no,married
28,technician,high.school,yes,yes,no,single
34,services,high.school,yes,no,no,married
42,blue-collar,basic.4y,no,no,no,married
30,admin.,university.degree,yes,no,no,single
27,student,basic.9y,yes,no,no,single
23,entrepreneur,university.degree,yes,no,no,married
43,blue-collar,basic.4y,yes,no,no,married
59,management,basic.4y,yes,yes,no,married
31,self-employed,university.degree,no,no,no,single
43,self-employed,basic.9y,no,no,no,married
52,technician,high.school,yes,no,no,married
26,housemaid,high.school,yes,yes,no,single
24,blue-collar,basic.9y,yes,yes,no,married
35,blue-collar,basic.6y,no,no,no,single
59,technician,professional.course,no,no,yes,married
28,blue-collar,basic.6y,no,no,no,married
37,blue-collar,basic.9y,no,no,no,single
46,admin.,professional.course,no,no,no,married
26,technician,university.degree,yes,no,yes,single
40,management,university.degree,yes,no,no,married
56,blue-collar,basic.4y,yes,no,no,married
40,management,university.degree,yes,no,no,married
29,admin.,university.degree,yes,yes,no,single
28,blue-collar,basic.9y,yes,no,no,single
48,technician,unknown,no,no,no,single
28,unemployed,university.degree,yes,no,no,single
33,technician,professional.course,no,no,no,married
56,entrepreneur,university.degree,yes,yes,no,married
57,retired,basic.9y,no,no,yes,married
24,admin.,high.school,yes,no,no,single
39,self-employed,university.degree,no,no,no,married
40,blue-collar,unknown,yes,yes,no,married
54,blue-collar,unknown,yes,no,no,divorced
25,admin.,university.degree,no,no,no,single
36,blue-collar,basic.9y,no,no,yes,married
48,admin.,university.degree,yes,no,no,married
32,admin.,university.degree,yes,no,no,single
48,admin.,university.degree,yes,yes,no,married
30,technician,university.degree,yes,no,no,married
41,admin.,high.school,no,no,no,divorced
54,retired,basic.4y,yes,no,no,divorced
29,admin.,university.degree,yes,no,yes,single
28,blue-collar,high.school,yes,no,no,single
30,admin.,university.degree,no,no,no,married
54,admin.,university.degree,yes,no,no,married
33,entrepreneur,basic.9y,no,no,no,married
38,blue-collar,basic.9y,no,no,no,married
46,housemaid,basic.6y,yes,no,no,divorced
38,admin.,university.degree,no,no,no,divorced
38,services,high.school,no,no,no,married
33,blue-collar,high.school,yes,no,no,married
25,admin.,university.degree,no,no,no,married
29,admin.,university.degree,yes,no,no,single
60,technician,professional.course,no,no,no,married
57,services,high.school,yes,no,no,married
36,admin.,university.degree,no,no,no,single
54,admin.,university.degree,no,no,no,married
25,self-employed,university.degree,no,no,no,single
41,entrepreneur,university.degree,no,no,no,married
54,management,university.degree,yes,no,no,married
39,blue-collar,basic.6y,no,no,no,divorced
55,entrepreneur,university.degree,no,no,no,divorced
40,admin.,high.school,no,no,no,married
43,unemployed,university.degree,yes,no,no,married
81,retired,basic.4y,no,no,yes,married
43,technician,professional.course,yes,no,no,divorced
34,admin.,high.school,yes,no,yes,married
42,technician,high.school,yes,no,no,married
30,services,basic.6y,no,no,no,married
24,services,basic.9y,no,yes,no,single
51,unknown,unknown,yes,no,no,married
42,blue-collar,basic.9y,no,no,no,married
51,self-employed,basic.4y,no,yes,no,married
38,blue-collar,high.school,no,no,no,married
45,blue-collar,basic.4y,yes,yes,no,married
51,admin.,university.degree,no,no,no,divorced
44,admin.,university.degree,no,no,no,married
52,technician,basic.9y,yes,no,no,married
49,admin.,university.degree,yes,no,no,married
49,technician,professional.course,yes,no,no,married
52,unknown,basic.6y,no,no,no,married
32,entrepreneur,university.degree,no,no,no,married
27,services,high.school,no,no,no,married
44,admin.,high.school,yes,no,no,divorced
33,admin.,university.degree,no,no,no,single
30,services,basic.9y,no,no,no,married
32,admin.,university.degree,yes,no,no,single
36,blue-collar,professional.course,yes,yes,no,married
49,unemployed,high.school,yes,no,no,married
48,services,basic.4y,yes,yes,no,single
48,technician,professional.course,yes,no,yes,married
42,blue-collar,basic.4y,no,no,no,married
28,admin.,high.school,yes,no,no,married
52,management,university.degree,yes,yes,no,married
23,management,university.degree,yes,no,no,single
36,blue-collar,basic.6y,yes,no,no,married
43,admin.,university.degree,no,no,no,divorced
31,services,high.school,yes,no,no,divorced
49,unemployed,basic.4y,yes,no,no,married
36,blue-collar,basic.9y,yes,no,no,married
47,management,basic.4y,no,no,no,divorced
31,technician,professional.course,unknown,unknown,no,single
46,entrepreneur,professional.course,no,no,no,married
54,blue-collar,basic.9y,yes,no,no,married
35,admin.,university.degree,no,no,no,married
37,admin.,high.school,no,no,no,divorced
44,blue-collar,basic.9y,yes,no,no,married
30,unemployed,high.school,no,no,yes,married
33,admin.,high.school,yes,no,no,single
57,services,unknown,no,no,no,divorced
39,admin.,unknown,no,yes,no,single
43,unemployed,basic.4y,no,no,no,married
32,services,high.school,unknown,unknown,no,married
29,technician,university.degree,no,no,no,single
35,admin.,high.school,yes,yes,no,divorced
47,admin.,high.school,no,no,no,married
37,management,university.degree,yes,no,no,married
35,technician,university.degree,no,no,no,single
37,self-employed,basic.9y,yes,yes,no,married
36,technician,high.school,yes,no,no,married
50,admin.,basic.9y,no,no,no,married
30,admin.,university.degree,no,no,no,single
33,blue-collar,basic.9y,yes,no,no,married
37,admin.,high.school,no,yes,no,single
45,self-employed,university.degree,no,yes,no,divorced
30,admin.,university.degree,no,no,no,single
51,management,university.degree,no,no,no,divorced
49,self-employed,basic.9y,no,no,no,single
31,technician,university.degree,yes,no,no,single
40,admin.,university.degree,yes,no,no,single
41,technician,professional.course,no,yes,no,married
58,retired,basic.4y,yes,no,no,married
49,blue-collar,basic.4y,yes,no,no,married
39,technician,professional.course,yes,no,no,divorced
48,technician,basic.6y,no,yes,no,married
50,entrepreneur,basic.4y,no,no,no,married
54,blue-collar,unknown,yes,no,no,married
38,blue-collar,unknown,no,yes,no,married
51,blue-collar,basic.4y,no,no,no,married
36,admin.,university.degree,no,no,no,single
35,blue-collar,basic.6y,yes,no,no,married
44,admin.,high.school,no,no,no,married
43,blue-collar,basic.4y,no,yes,no,married
30,technician,university.degree,no,no,no,single
41,technician,basic.4y,yes,no,no,divorced
27,management,university.degree,yes,no,no,single
45,blue-collar,high.school,yes,yes,yes,married
26,admin.,high.school,yes,no,no,single
36,technician,professional.course,unknown,unknown,no,married
24,student,high.school,no,no,no,single
46,management,university.degree,yes,no,no,married
61,blue-collar,basic.6y,yes,yes,yes,married
50,admin.,basic.9y,no,no,no,divorced
49,technician,professional.course,yes,no,no,married
55,admin.,basic.4y,yes,no,no,married
54,blue-collar,basic.4y,yes,no,no,married
40,blue-collar,basic.9y,yes,no,no,divorced
58,blue-collar,basic.4y,yes,yes,no,married
58,entrepreneur,university.degree,no,no,no,married
36,admin.,university.degree,yes,no,no,single
30,admin.,university.degree,yes,no,no,single
45,admin.,university.degree,yes,no,no,single
40,management,university.degree,yes,no,no,married
42,self-employed,university.degree,no,no,no,married
43,blue-collar,unknown,yes,no,no,married
24,student,high.school,no,no,no,single
49,management,university.degree,no,no,no,married
55,unemployed,basic.4y,yes,no,no,married
49,admin.,high.school,yes,no,no,married
48,blue-collar,basic.4y,no,yes,no,married
49,admin.,high.school,no,no,no,married
40,blue-collar,high.school,yes,no,no,married
35,services,high.school,no,no,no,married
32,admin.,professional.course,yes,no,no,single
67,housemaid,professional.course,yes,no,yes,divorced
41,technician,university.degree,yes,yes,no,married
73,retired,university.degree,yes,no,yes,married
32,management,basic.4y,no,no,no,single
33,management,university.degree,yes,no,no,married
36,technician,professional.course,yes,no,no,married
40,technician,professional.course,yes,no,no,married
25,blue-collar,basic.9y,yes,yes,no,single
60,entrepreneur,unknown,no,no,no,married
45,management,university.degree,yes,no,no,married
33,technician,university.degree,no,no,no,married
31,admin.,university.degree,yes,no,no,married
48,self-employed,university.degree,yes,no,no,married
42,services,university.degree,yes,no,no,married
40,management,university.degree,no,yes,no,married
30,technician,university.degree,no,no,no,married
41,blue-collar,basic.4y,no,no,no,married
36,housemaid,basic.4y,unknown,unknown,no,married
41,management,basic.6y,no,no,no,divorced
60,unknown,university.degree,no,yes,no,married
32,services,high.school,unknown,unknown,no,single
44,self-employed,professional.course,yes,no,yes,single
25,services,high.school,yes,no,no,married
30,blue-collar,basic.9y,no,no,yes,married
25,admin.,university.degree,yes,no,no,married
31,technician,university.degree,yes,no,no,divorced
44,blue-collar,basic.4y,unknown,unknown,no,married
29,technician,university.degree,no,no,no,single
47,admin.,university.degree,no,no,no,married
18,student,unknown,no,no,yes,single
25,admin.,high.school,no,yes,no,married
29,technician,professional.course,no,no,yes,married
53,unknown,unknown,no,no,no,married
36,self-employed,basic.9y,no,no,no,married
45,blue-collar,basic.9y,no,no,no,single
31,technician,university.degree,no,no,yes,single
54,admin.,unknown,no,no,no,married
51,blue-collar,basic.4y,yes,no,no,married
44,entrepreneur,basic.4y,yes,no,yes,married
24,blue-collar,basic.9y,yes,no,no,single
40,admin.,university.degree,yes,no,no,married
39,services,basic.4y,no,no,no,married
44,blue-collar,basic.4y,no,no,no,married
44,management,university.degree,yes,no,no,divorced
52,entrepreneur,basic.9y,yes,no,no,married
51,blue-collar,high.school,yes,no,yes,married
38,management,university.degree,yes,no,yes,married
34,technician,professional.course,no,no,no,married
23,blue-collar,high.school,no,no,no,single
30,admin.,university.degree,no,no,no,single
26,blue-collar,basic.6y,no,no,no,married
24,unknown,university.degree,yes,yes,no,single
34,admin.,basic.6y,yes,yes,no,married
59,unknown,unknown,no,no,yes,married
32,management,university.degree,no,no,no,divorced
27,self-employed,university.degree,yes,yes,no,single
39,housemaid,basic.4y,yes,no,no,married
29,blue-collar,professional.course,no,no,no,married
42,technician,university.degree,yes,yes,no,single
60,management,unknown,no,no,no,married
30,technician,university.degree,no,yes,no,single
38,management,university.degree,yes,no,no,married
49,blue-collar,basic.6y,no,no,no,married
30,admin.,university.degree,yes,no,no,single
41,blue-collar,high.school,yes,no,no,married
56,blue-collar,basic.9y,no,no,no,married
58,blue-collar,basic.9y,yes,no,no,single
52,blue-collar,basic.4y,yes,no,no,divorced
32,admin.,professional.course,yes,no,no,married
51,management,university.degree,yes,no,no,married
31,self-employed,university.degree,yes,no,no,married
34,technician,professional.course,yes,no,no,married
60,retired,unknown,yes,no,yes,married
36,admin.,university.degree,yes,no,no,married
30,services,basic.9y,no,no,no,divorced
51,admin.,university.degree,yes,yes,no,single
26,blue-collar,basic.9y,yes,no,no,married
39,admin.,university.degree,yes,no,no,married
38,entrepreneur,university.degree,no,no,no,married
41,blue-collar,basic.9y,no,no,no,married
43,unknown,high.school,yes,yes,no,married
60,entrepreneur,basic.4y,unknown,unknown,no,married
28,blue-collar,basic.6y,no,no,no,married
34,technician,professional.course,yes,no,no,married
64,unemployed,basic.9y,yes,no,no,divorced
35,blue-collar,professional.course,yes,yes,no,married
40,blue-collar,basic.9y,yes,no,no,married
46,blue-collar,basic.6y,no,yes,no,single
33,admin.,university.degree,yes,no,yes,married
74,retired,university.degree,no,no,no,married
40,management,high.school,yes,no,no,married
46,services,high.school,no,no,no,married
41,entrepreneur,professional.course,yes,no,no,divorced
30,technician,university.degree,yes,no,no,single
44,admin.,university.degree,yes,no,no,married
47,blue-collar,high.school,unknown,unknown,no,married
50,blue-collar,basic.4y,yes,no,no,married
29,technician,professional.course,yes,no,no,single
51,blue-collar,basic.4y,yes,no,no,divorced
52,blue-collar,basic.4y,no,no,no,married
27,admin.,high.school,no,no,no,single
44,self-employed,basic.9y,yes,no,no,married
34,unemployed,basic.9y,no,no,no,married
23,student,high.school,yes,no,yes,single
30,technician,professional.course,no,no,no,single
26,student,high.school,yes,no,no,single
35,technician,university.degree,yes,no,no,married
24,technician,university.degree,no,no,no,single
38,unemployed,basic.4y,no,no,yes,married
36,admin.,high.school,no,no,no,married
24,technician,university.degree,no,no,no,single
31,management,university.degree,yes,no,no,married
41,admin.,university.degree,yes,no,no,married
39,unemployed,university.degree,yes,no,no,married
36,technician,professional.course,no,no,no,divorced
47,retired,basic.4y,unknown,unknown,no,married
33,technician,professional.course,no,no,yes,married
34,blue-collar,professional.course,yes,no,no,married
42,technician,professional.course,no,yes,no,divorced
51,blue-collar,high.school,no,no,no,married
34,blue-collar,basic.6y,yes,yes,no,single
33,admin.,university.degree,yes,yes,no,single
37,management,university.degree,yes,no,yes,married
33,blue-collar,basic.9y,no,yes,no,married
36,housemaid,basic.4y,no,no,no,married
43,services,high.school,no,no,no,married
47,blue-collar,basic.6y,yes,yes,no,married
32,admin.,university.degree,yes,yes,no,married
42,admin.,university.degree,no,no,no,single
36,admin.,university.degree,yes,no,no,married
42,blue-collar,basic.9y,unknown,unknown,no,divorced
31,blue-collar,basic.9y,no,no,no,single
41,admin.,basic.6y,no,no,no,divorced
31,technician,basic.9y,no,yes,yes,married
36,technician,professional.course,no,no,yes,single
46,services,basic.9y,no,yes,no,married
35,admin.,high.school,no,no,no,divorced
30,technician,high.school,yes,no,no,married
35,technician,university.degree,yes,no,no,single
47,management,basic.4y,no,no,no,married
35,management,high.school,yes,yes,no,single
77,management,unknown,yes,no,yes,married
39,technician,professional.course,unknown,unknown,no,married
37,admin.,high.school,yes,no,no,single
31,admin.,university.degree,no,no,no,single
49,technician,high.school,yes,no,no,divorced
57,self-employed,university.degree,no,no,no,married
33,blue-collar,basic.9y,yes,no,no,divorced
35,blue-collar,basic.6y,yes,no,no,married
39,technician,university.degree,yes,yes,no,single
34,technician,basic.9y,yes,no,no,married
32,admin.,high.school,no,yes,no,single
35,student,university.degree,no,no,yes,single
53,self-employed,university.degree,no,no,no,married
30,technician,university.degree,yes,no,no,married
30,student,unknown,yes,no,no,single
44,blue-collar,high.school,no,no,no,married
50,admin.,basic.9y,no,no,no,married
56,retired,high.school,yes,no,no,married
58,retired,high.school,yes,no,no,divorced
54,technician,university.degree,no,no,no,married
40,technician,university.degree,no,no,yes,single
31,blue-collar,basic.6y,no,no,no,married
41,admin.,high.school,yes,no,no,married
31,blue-collar,high.school,yes,no,no,single
39,services,high.school,yes,yes,no,married
37,admin.,high.school,yes,no,no,married
41,unknown,unknown,yes,no,no,single
50,technician,university.degree,yes,no,no,married
49,blue-collar,basic.4y,no,no,no,married
31,admin.,university.degree,no,no,no,married
35,services,professional.course,yes,no,yes,married
52,management,university.degree,yes,no,no,married
33,management,university.degree,no,no,no,married
32,blue-collar,basic.4y,no,no,no,married
35,management,university.degree,yes,no,no,married
54,admin.,university.degree,yes,yes,yes,married
27,services,high.school,no,no,yes,single
52,management,professional.course,yes,yes,no,married
32,admin.,university.degree,yes,yes,no,married
36,admin.,high.school,yes,no,no,single
27,admin.,professional.course,no,no,no,married
39,blue-collar,basic.9y,yes,no,no,single
34,entrepreneur,university.degree,no,yes,no,married
35,blue-collar,basic.9y,yes,no,no,married
32,admin.,university.degree,no,no,no,single
42,technician,professional.course,no,no,no,married
42,admin.,high.school,no,no,yes,married
37,management,university.degree,yes,no,no,single
34,admin.,university.degree,yes,yes,no,married
27,admin.,high.school,yes,no,no,single
49,blue-collar,basic.9y,no,no,yes,married
35,admin.,university.degree,no,no,no,married
22,blue-collar,basic.9y,yes,no,no,single
45,housemaid,university.degree,yes,no,no,divorced
29,blue-collar,high.school,yes,no,no,married
59,technician,professional.course,yes,no,no,married
55,retired,basic.6y,no,no,no,divorced
32,blue-collar,unknown,no,no,no,married
49,blue-collar,unknown,yes,no,no,divorced
43,admin.,professional.course,yes,no,no,married
47,blue-collar,high.school,yes,no,no,married
41,blue-collar,basic.9y,yes,no,no,divorced
50,blue-collar,basic.9y,yes,no,no,married
46,entrepreneur,university.degree,yes,no,no,married
32,services,high.school,yes,yes,no,married
47,retired,basic.6y,yes,yes,no,single
54,admin.,university.degree,no,yes,no,married
29,technician,university.degree,no,no,no,married
33,admin.,university.degree,no,no,no,married
31,student,university.degree,no,no,yes,single
27,blue-collar,basic.9y,yes,no,no,single
25,student,high.school,no,no,yes,single
34,technician,university.degree,yes,no,yes,married
35,admin.,high.school,no,no,no,married
37,services,basic.9y,yes,no,no,married
34,technician,university.degree,yes,yes,yes,single
33,blue-collar,basic.4y,no,yes,no,single
54,self-employed,high.school,yes,no,no,married
30,blue-collar,basic.9y,yes,no,no,married
40,blue-collar,basic.4y,no,no,no,married
37,technician,high.school,yes,no,no,single
34,housemaid,university.degree,yes,yes,no,divorced
25,unemployed,high.school,unknown,unknown,no,married
59,retired,university.degree,yes,no,no,married
25,admin.,university.degree,yes,no,no,single
58,unemployed,university.degree,yes,no,yes,married
42,blue-collar,basic.4y,unknown,unknown,no,single
33,technician,university.degree,yes,no,no,married
50,blue-collar,basic.4y,yes,no,no,married
39,blue-collar,basic.6y,no,no,no,married
30,technician,high.school,no,no,yes,single
33,management,high.school,yes,no,no,married
33,management,university.degree,no,no,no,married
41,technician,professional.course,yes,no,no,married
36,management,university.degree,yes,no,no,married
44,entrepreneur,university.degree,yes,yes,no,married
57,retired,basic.4y,yes,yes,yes,married
40,blue-collar,basic.6y,no,no,no,married
42,blue-collar,basic.9y,no,no,no,married
41,self-employed,university.degree,yes,yes,no,single
